Image	Object type	Name	Classification	Parent	ROI	Atlas_X	Atlas_Y	Atlas_Z	hemisphere	channel	Atlas_AP	Atlas_DV	Atlas_ML	animal
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.7091	3.7801	3.694	Right	Negative	-6.576200866082083	2.620308230744762	-2.0060000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5704	4.1505	3.7487	Right	Negative	-6.470311148570492	2.9798181760356615	-1.9513000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	FN	Polygon	11.6918	3.8156	4.8386	Right	Negative	-6.56206072667264	2.6550939417094934	-0.8614000000000006	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	FN	Polygon	11.7051	3.7803	4.8098	Right	Negative	-6.572233518438267	2.6208250836712303	-0.8902000000000001	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	FN	Polygon	11.6734	3.8659	4.7079	Right	Negative	-6.548114678087959	2.7038792868317647	-0.9920999999999998	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	FN	Polygon	11.6868	3.8296	4.7654	Right	Negative	-6.558299933580647	2.668662396442551	-0.9346000000000005	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	FN	Polygon	11.6677	3.8796	4.8902	Right	Negative	-6.543630401984479	2.717223354450764	-0.8098000000000001	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	FN	Polygon	11.7144	3.7578	4.543	Right	Negative	-6.579537124918697	2.5989146855445004	-1.157	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	FN	Polygon	11.8014	3.5212	4.9788	Right	Negative	-6.645585014918583	2.369402243736562	-0.7212000000000005	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	FN	Polygon	11.7025	3.7857	4.9841	Right	Negative	-6.570114053234066	2.626113837185442	-0.7159000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	FN	Polygon	11.7911	3.5484	5.0195	Right	Negative	-6.637694845730976	2.3958119719584454	-0.6805000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	FN	Polygon	11.7624	3.6244	5.0909	Right	Negative	-6.615727894344564	2.46959733018533	-0.6090999999999998	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	FN	Polygon	11.709	3.7679	5.0088	Right	Negative	-6.575037946550753	2.6088507700637398	-0.6912000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	FN	Polygon	11.7264	3.7208	5.0736	Right	Negative	-6.588266698814135	2.5631550399193515	-0.6264000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.7171	6.4321	3.8099	Right	Negative	-5.8191127553418625	5.194249503963941	-1.8901000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	11.0041	5.6651	3.7344	Right	Negative	-6.038172179006739	4.449817251147834	-1.9656000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.8489	6.0826	3.5076	Right	Negative	-5.9199502844600485	4.854948926128185	-2.1924	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.9274	5.8687	3.9083	Right	Negative	-5.9795089548865255	4.647469066280445	-1.7917	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.9855	5.7151	3.7159	Right	Negative	-6.024000744759616	4.498337097792194	-1.9841000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	11.1183	5.3569	4.0531	Right	Negative	-6.125076213613989	4.150777949548566	-1.6469000000000005	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.9086	5.9221	3.5904	Right	Negative	-5.965434611225126	4.699200711736159	-2.1096000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.7023	6.4728	3.7035	Right	Negative	-5.807916312539934	5.233716670515938	-1.9965000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	11.0705	5.4846	4.0712	Right	Negative	-6.0885878953940775	4.274721942916569	-1.6288	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.8401	6.1058	3.5233	Right	Negative	-5.913205784348586	4.877476079945787	-2.1767000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	11.0717	5.4822	3.96	Right	Negative	-6.089574155249195	4.272367731455687	-1.7400000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	11.076	5.4727	3.77	Right	Negative	-6.093029812894887	4.263085977983834	-1.9300000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.9123	5.9115	3.6629	Right	Negative	-5.96819668073494	4.688934500814933	-2.0371	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.9568	5.7925	3.6483	Right	Negative	-6.0021558114130515	4.57343819012853	-2.0517000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.701	6.4766	3.6576	Right	Negative	-5.8069524512548565	5.237394838359042	-2.0424	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.7191	6.4278	3.7022	Right	Negative	-5.82073037504423	5.190043875172352	-1.9978000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.998	5.6814	3.7356	Right	Negative	-6.033516029955166	4.4656377140611845	-1.9644000000000004	animalid0
