Name	hemisphere	Area µm^2	Area mm^2	length µm	length mm	density µm^-1	density mm^-1	coverage index	relative count	relative density	channel	animal
AP	Ipsi.	164040.0	0.16404	27.4037	0.0274037	0.00016705498658863693	167.05498658863692	0.00457792473597903	2.996589786519652e-05	4.217590088253886e-05	marker3	mouse0
AP	Ipsi.	164040.0	0.16404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker2	mouse0
AP	Ipsi.	164040.0	0.16404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker1	mouse0
AP	both	307749.7	0.3077497	194.5255	0.1945255	0.0006320899744175218	632.0899744175217	0.12295761831855563	0.00011823145710582979	0.00020367475236089444	marker3	mouse0
AP	both	307749.7	0.3077497	334.9677	0.3349677	0.001088442003355324	1088.442003355324	0.36459291444732517	7.342878916075168e-05	0.00010747890983761684	marker2	mouse0
AP	both	307749.7	0.3077497	80.7508	0.0807508	0.0002623911574893493	262.39115748934927	0.021188295880190947	8.078143214134887e-05	9.611415272114748e-05	marker1	mouse0
B	both	132149.6	0.1321496	8.574	0.008574	6.488101363908782e-05	64.88101363908781	0.0005562898109415389	5.211226873728044e-06	2.0906239492316667e-05	marker3	mouse0
B	both	132149.6	0.1321496	410.7916	0.41079160000000003	0.003108534569911676	3108.534569911676	1.2769598896293293	9.005026390725984e-05	0.0003069542573115711	marker2	mouse0
B	both	132149.6	0.1321496	14389.8762	14.3898762	0.10889080405843075	108890.80405843075	1566.925189719276	0.014395334879316504	0.03988681429413406	marker1	mouse0
B	Contra.	66058.1	0.06605810000000001	3.1917999999999997	0.0031918	4.8318071515832265e-05	48.318071515832266	0.00015422162066423343	4.367555974945897e-06	2.0823161504248818e-05	marker3	mouse0
B	Contra.	66058.1	0.06605810000000001	51.4275	0.0514275	0.0007785192126325158	778.5192126325159	0.04003729680765871	2.2934279354446467e-05	9.394332738303544e-05	marker2	mouse0
B	Contra.	66058.1	0.06605810000000001	511.5102	0.5115102	0.00774333806149435	7743.33806149435	3.9607964005025877	0.0009682679387736128	0.003204053425130755	marker1	mouse0
B	Ipsi.	66091.5	0.0660915	5.3822	0.0053822	8.143558551402223e-05	81.43558551402224	0.00043830260835357043	5.885426255945756e-06	2.0559812389249216e-05	marker3	mouse0
B	Ipsi.	66091.5	0.0660915	359.3641	0.3593641	0.005437372430645393	5437.372430645393	1.9539964499036941	0.0001549372067284956	0.0004581595269149834	marker2	mouse0
B	Ipsi.	66091.5	0.0660915	13878.366	13.878366	0.2099871541726243	209987.15417262432	2914.2785809061074	0.029444028020520003	0.07553523037534908	marker1	mouse0
CU	Contra.	613230.4	0.6132304000000001	997.1855	0.9971855000000001	0.0016261188290730532	1626.1188290730531	1.621542117628627	0.001364516413514134	0.0007007923524388392	marker3	mouse0
CU	Contra.	613230.4	0.6132304000000001	540.9870999999999	0.5409870999999999	0.0008821922396541331	882.1922396541331	0.47725462137299446	0.00024125515100971006	0.00010645347351719302	marker2	mouse0
CU	Contra.	613230.4	0.6132304000000001	469.4501	0.46945010000000004	0.0007655362486921718	765.5362486921717	0.35938106850216495	0.0008886498855429793	0.0003167650721439049	marker1	mouse0
CU	both	1249131.8	1.2491318	1059.9131	1.0599131	0.0008485198279316882	848.5198279316883	0.8993572812345422	0.0006442089608743177	0.00027341371137321535	marker3	mouse0
CU	both	1249131.8	1.2491318	725.4576	0.7254575999999999	0.0005807694592356067	580.7694592356066	0.42132361805036095	0.0001590286859164777	5.734845600702895e-05	marker2	mouse0
CU	both	1249131.8	1.2491318	469.4501	0.46945010000000004	0.0003758211103103772	375.8211103103772	0.1764292578173176	0.0004696281819734224	0.00013766366190777227	marker1	mouse0
CU	Ipsi.	635901.4	0.6359014000000001	62.7276	0.06272760000000001	9.864359474597791e-05	98.64359474597791	0.006187675953787805	6.859252053295362e-05	2.4904269903348604e-05	marker3	mouse0
CU	Ipsi.	635901.4	0.6359014000000001	184.4705	0.18447049999999998	0.0002900929295013346	290.0929295013346	0.05351358775157594	7.953310860436239e-05	2.444357840795124e-05	marker2	mouse0
CU	Ipsi.	635901.4	0.6359014000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker1	mouse0
DCO	Contra.	2060697.4	2.0606974	509.19	0.50919	0.0002470959588729524	247.09595887295242	0.12581879129851867	0.0006967591412001697	0.00010648850207055051	marker3	mouse0
DCO	Contra.	2060697.4	2.0606974	4770.151500000001	4.770151500000001	0.0023148238552637575	2314.823855263757	11.042060485422196	0.0021272662887371905	0.00027932805220537573	marker2	mouse0
DCO	Contra.	2060697.4	2.0606974	5383.4352	5.3834352	0.0026124336353314176	2612.4336353314175	14.063867190107116	0.010190623187231285	0.0010809778509909276	marker1	mouse0
DCO	Ipsi.	1860117.6	1.8601176000000001	43332.2993	43.332299299999995	0.023295462233140527	23295.462233140526	1009.4459418182917	0.04738379325010589	0.005881339588965567	marker3	mouse0
DCO	Ipsi.	1860117.6	1.8601176000000001	151507.05159999998	151.50705159999998	0.08145025432800591	81450.2543280059	12340.287885306312	0.06532115860926022	0.006863096185889711	marker2	mouse0
DCO	Ipsi.	1860117.6	1.8601176000000001	20052.3996	20.0523996	0.010780178414526049	10780.178414526048	216.1684453273708	0.0425427183359384	0.003877776539412463	marker1	mouse0
DCO	both	3920815.0	3.920815	43841.4893	43.8414893	0.011181728620197586	11181.728620197586	490.2236356578963	0.026646599862890193	0.0036030247272694884	marker3	mouse0
DCO	both	3920815.0	3.920815	156277.20309999998	156.27720309999998	0.03985834656825175	39858.34656825175	6228.950921876866	0.034257768128275856	0.00393583822002422	marker2	mouse0
DCO	both	3920815.0	3.920815	25435.8348	25.435834800000002	0.006487384587133033	6487.384587133032	165.01204264238203	0.025445483671428147	0.0023763356926150693	marker1	mouse0
DMX	both	811502.0	0.811502	10180.8457	10.180845699999999	0.012545681587968975	12545.681587968977	127.72564844844312	0.006187858258586261	0.0040425235236216115	marker3	mouse0
